py_entry_time,py_entry_price,py_exit_time,py_exit_price,py_side,py_result,py_exit_reason,py_mae,py_mfe,py_ib_range,py_tie_break,py_realized_r,py_date,py_play,py_avwap_source,py_break_vs_avwap_0930,py_trend_misaligned,py_entry_dt,nt8_side,nt8_entry_time,nt8_entry_price,nt8_exit_time,nt8_exit_price,nt8_pnl,nt8_exit_reason,nt8_entry_dt,nt8_date,nt8_dt_diff,entry_time_diff_s,entry_price_diff,exit_price_diff,result_match
2026-01-30 10:29:00-05:00,26309.75,2026-01-30 10:47:00-05:00,26443.5,SHORT,-1,stop,140.25,23.0,133.75,False,-2.4598,2026-01-30,1,parquet,-1.0,1,2026-01-30 10:29:00-05:00,SHORT,2026-01-30T10:31:00,25794.0,2026-01-30T10:47:00,25920.25,-2525.0,Stop loss,2026-01-30 05:31:00-05:00,2026-01-30,17880.0,17880.0,515.75,523.25,True
2026-02-03 10:00:00-05:00,26125.75,2026-02-03 12:12:00-05:00,25974.75,SHORT,1,target,37.0,207.0,329.0,False,1.0,2026-02-03,1,parquet,-1.0,1,2026-02-03 10:00:00-05:00,SHORT,2026-02-03T10:02:00,25610.75,2026-02-03T10:25:00,25479.0,2635.0,Profit target,2026-02-03 05:02:00-05:00,2026-02-03,17880.0,17880.0,515.0,495.75,True
2026-02-04 10:00:00-05:00,25668.5,2026-02-04 11:02:00-05:00,25600.0,SHORT,1,target,152.5,72.0,204.0,False,1.0,2026-02-04,1,parquet,-1.0,1,2026-02-04 10:00:00-05:00,,,,,,,,,,,,,,
2026-02-05 10:10:00-05:00,25159.75,2026-02-05 15:50:00-05:00,25114.75,SHORT,1,liquidation_1550,243.75,100.5,308.75,False,0.308,2026-02-05,1,parquet,-1.0,1,2026-02-05 10:10:00-05:00,,,,,,,,,,,,,,
2026-02-11 10:02:00-05:00,25795.75,2026-02-11 10:12:00-05:00,25718.38,SHORT,1,target,47.5,109.75,175.25,False,1.0,2026-02-11,1,parquet,1.0,1,2026-02-11 10:02:00-05:00,,,,,,,,,,,,,,
2026-02-12 10:08:00-05:00,25693.0,2026-02-12 10:44:00-05:00,25599.12,SHORT,1,target,83.25,95.0,206.25,False,1.0,2026-02-12,1,parquet,1.0,1,2026-02-12 10:08:00-05:00,,,,,,,,,,,,,,
2026-02-16 10:00:00-05:00,25304.0,2026-02-16 10:33:00-05:00,25214.0,LONG,-1,stop,102.75,9.5,90.0,False,-2.2642,2026-02-16,1,parquet,-1.0,1,2026-02-16 10:00:00-05:00,LONG,2026-02-16T10:02:00,24788.25,2026-02-16T10:34:00,24698.0,-1805.0,Stop loss,2026-02-16 05:02:00-05:00,2026-02-16,17880.0,17880.0,515.75,516.0,True
2026-02-18 10:01:00-05:00,25485.25,2026-02-18 10:16:00-05:00,25577.75,LONG,1,target,18.5,101.25,206.5,False,1.0,2026-02-18,1,parquet,-1.0,1,2026-02-18 10:01:00-05:00,LONG,2026-02-18T10:03:00,24970.0,2026-02-18T10:17:00,25061.75,1835.0,Profit target,2026-02-18 05:03:00-05:00,2026-02-18,17880.0,17880.0,515.25,516.0,True
2026-02-19 10:03:00-05:00,25458.0,2026-02-19 12:48:00-05:00,25301.0,LONG,-1,stop,159.0,17.5,157.0,False,-2.7788,2026-02-19,1,parquet,-1.0,1,2026-02-19 10:03:00-05:00,LONG,2026-02-19T10:05:00,24942.25,2026-02-19T12:49:00,24785.0,-3145.0,Stop loss,2026-02-19 05:05:00-05:00,2026-02-19,17880.0,17880.0,515.75,516.0,True
2026-02-20 10:01:00-05:00,25578.75,2026-02-20 10:49:00-05:00,25613.0,LONG,1,target,204.5,35.0,279.0,False,1.0,2026-02-20,1,parquet,-1.0,1,2026-02-20 10:01:00-05:00,LONG,2026-02-20T10:03:00,25063.75,2026-02-20T10:50:00,25097.0,665.0,Profit target,2026-02-20 05:03:00-05:00,2026-02-20,17880.0,17880.0,515.0,516.0,True
